name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
ahmedabad,2024-09-11,29.5,26,27.9,35.1,26,31.8,24.1,80,0,0,0,rain,0,0,29.9,14.8,242,1002.7,79.2,3.5,89.7,7.7,6,10,2024-09-11T06:25:01,2024-09-11T18:47:03,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-12,32,26,28.8,35.8,26,31.9,23.1,72.4,0,0,0,rain,0,0,35.3,22.3,220.1,1004,60.1,4,232.4,19.9,7,10,2024-09-12T06:25:19,2024-09-12T18:46:03,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-13,32,24,27.9,36.7,24,30.1,22.6,73.6,0.8,100,16.67,rain,0,0,37.1,22.3,202.8,1004.9,69,4,132,11.2,7,10,2024-09-13T06:25:37,2024-09-13T18:45:02,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-14,31.3,24,27.2,35.5,24,28.7,22.7,77.6,25,100,12.5,rain,0,0,32.4,18.4,186.5,1004.6,58.8,3.5,203.3,17.7,9,10,2024-09-14T06:25:55,2024-09-14T18:44:01,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-15,31.8,25,27.7,35,25,29.5,22.6,75.2,0,0,0,rain,0,0,30.2,13.8,242.6,1005.7,58.4,3.6,271.3,23.5,9,10,2024-09-15T06:26:13,2024-09-15T18:43:01,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-16,32,25,28.2,35.1,25,29.8,21.8,69.8,0,0,0,,0,0,23.4,14.8,240.7,1007.1,37.7,4.2,277.8,24.1,9,10,2024-09-16T06:26:31,2024-09-16T18:42:00,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-17,32,25,28.7,35.1,25,30.6,21.5,66.5,0,0,0,rain,0,0,20.2,13,255.4,1007.4,43.8,4,274,23.7,9,10,2024-09-17T06:26:49,2024-09-17T18:40:59,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-18,32.8,26,28.9,37.5,26,31.6,22.6,69.6,0,0,0,,0,0,24.1,13,264.5,1005.1,45.4,4.1,153,13.3,9,10,2024-09-18T06:27:07,2024-09-18T18:39:58,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-19,33,26,29.3,38.3,26,32.5,22.8,69.2,0,0,0,,0,0,31,16.6,246.4,1005.4,35,3.9,269,23.1,9,10,2024-09-19T06:27:26,2024-09-19T18:38:57,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-20,34,26,29.7,38.3,26,33.7,23.2,68.7,0,0,0,,0,0,28.8,18.4,223.7,1005.6,38.6,4.2,265.1,23,9,10,2024-09-20T06:27:44,2024-09-20T18:37:56,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-21,33.1,26,29.8,39.9,26,33.8,23.2,68.8,0,0,0,,0,0,21.2,16.6,242.6,1006.7,38.1,3.9,233.1,20.2,8,10,2024-09-21T06:28:02,2024-09-21T18:36:55,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-22,34,27,30.1,39.8,29.6,34.3,23.3,67.8,0,0,0,rain,0,0,28.1,16.6,250,1006.4,38.2,4.3,212.1,18.3,8,30,2024-09-22T06:28:21,2024-09-22T18:35:54,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"42647099999,42654099999,VAAH,42744099999"
ahmedabad,2024-09-23,34,27,30.3,40.5,30,35,23.8,69.2,0.1,100,4.17,rain,0,0,26.6,18.4,273.1,1005.7,35.5,3.9,236.7,20.3,9,30,2024-09-23T06:28:40,2024-09-23T18:34:53,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"42647099999,VAAH"
ahmedabad,2024-09-24,35,27,30.3,41.8,30.5,35.7,24.4,71.3,0.1,100,4.17,rain,0,0,34.2,15.8,281,1003.8,58.3,4.7,203.8,17.5,9,30,2024-09-24T06:28:58,2024-09-24T18:33:53,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"VAAH,remote"
ahmedabad,2024-09-25,35,24,29.1,43.4,24,33.9,24.5,77,5.3,100,16.67,rain,0,0,37.1,18.4,255.9,1002.8,85.8,3.9,171.2,14.8,6,30,2024-09-25T06:29:17,2024-09-25T18:32:52,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VAAH,remote"
ahmedabad,2024-09-26,32,23,26.8,40.5,23,28.8,23.9,84.6,13.6,100,50,rain,0,0,46.4,27.7,264.7,1002.3,79.5,3.1,145.2,12.5,8,30,2024-09-26T06:29:36,2024-09-26T18:31:52,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,VAAH
ahmedabad,2024-09-27,27,25,25.8,30.5,25,26.4,24,89.9,31.1,100,62.5,rain,0,0,24.8,14.8,255.9,1002.9,94.5,2.7,172.9,14.9,7,30,2024-09-27T06:29:56,2024-09-27T18:30:52,0.81,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,VAAH
ahmedabad,2024-09-28,29,24,25.8,33.5,24,26.9,23.3,86.3,15.3,100,66.67,rain,0,0,20.2,13,269,1005.6,96,3.1,33.8,3,1,30,2024-09-28T06:30:15,2024-09-28T18:29:52,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VAAH,remote"
ahmedabad,2024-09-29,29,24,26.4,34.4,24,28.3,23.7,85.5,7.4,100,37.5,rain,0,0,20.9,11.2,219.2,1008.5,91,2.5,80.5,7,6,30,2024-09-29T06:30:35,2024-09-29T18:28:52,0.88,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,VAAH
ahmedabad,2024-09-30,32,24,28.2,39.1,24,31.5,23.6,76.9,1.2,100,12.5,rain,0,0,21.2,14.8,315.1,1009.4,53.5,3.9,229.6,19.9,9,60,2024-09-30T06:30:55,2024-09-30T18:27:53,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VAAH,remote"
